pve,sample_size,scenario,power
0.1,2000,Outbred 1 WG,1
0.1,3000,Outbred 1 WG,1
0.1,5000,Outbred 1 WG,1
0.01,100,Outbred 1 Cis-only,0.002
0.01,150,Outbred 1 Cis-only,0
0.01,200,Outbred 1 Cis-only,0.007
0.01,300,Outbred 1 Cis-only,0.004
0.01,400,Outbred 1 Cis-only,0.024
0.01,500,Outbred 1 Cis-only,0.038
0.01,750,Outbred 1 Cis-only,0.108
0.01,1000,Outbred 1 Cis-only,0.198
0.01,1500,Outbred 1 Cis-only,0.433
0.01,2000,Outbred 1 Cis-only,0.687
0.01,3000,Outbred 1 Cis-only,0.921
0.01,5000,Outbred 1 Cis-only,1
0.02,100,Outbred 1 Cis-only,0.004
0.02,150,Outbred 1 Cis-only,0.008
0.02,200,Outbred 1 Cis-only,0.017
0.02,300,Outbred 1 Cis-only,0.054
0.02,400,Outbred 1 Cis-only,0.121
0.02,500,Outbred 1 Cis-only,0.186
0.02,750,Outbred 1 Cis-only,0.426
0.02,1000,Outbred 1 Cis-only,0.704
0.02,1500,Outbred 1 Cis-only,0.933
0.02,2000,Outbred 1 Cis-only,0.995
0.02,3000,Outbred 1 Cis-only,1
0.02,5000,Outbred 1 Cis-only,1
0.05,100,Outbred 1 Cis-only,0.036
0.05,150,Outbred 1 Cis-only,0.108
0.05,200,Outbred 1 Cis-only,0.212
0.05,300,Outbred 1 Cis-only,0.479
0.05,400,Outbred 1 Cis-only,0.702
0.05,500,Outbred 1 Cis-only,0.857
0.05,750,Outbred 1 Cis-only,0.99
0.05,1000,Outbred 1 Cis-only,0.999
0.05,1500,Outbred 1 Cis-only,1
0.05,2000,Outbred 1 Cis-only,1
0.05,3000,Outbred 1 Cis-only,1
0.05,5000,Outbred 1 Cis-only,1
0.1,100,Outbred 1 Cis-only,0.205
0.1,150,Outbred 1 Cis-only,0.471
0.1,200,Outbred 1 Cis-only,0.723
0.1,300,Outbred 1 Cis-only,0.953
0.1,400,Outbred 1 Cis-only,0.993
0.1,500,Outbred 1 Cis-only,1
0.1,750,Outbred 1 Cis-only,1
0.1,1000,Outbred 1 Cis-only,1
0.1,1500,Outbred 1 Cis-only,1
0.1,2000,Outbred 1 Cis-only,1
0.1,3000,Outbred 1 Cis-only,1
0.1,5000,Outbred 1 Cis-only,1
0.01,100,Outbred 50000 WG,0
0.01,150,Outbred 50000 WG,0
0.01,200,Outbred 50000 WG,0
0.01,300,Outbred 50000 WG,0
0.01,400,Outbred 50000 WG,0
0.01,500,Outbred 50000 WG,0
0.01,750,Outbred 50000 WG,0
0.01,1000,Outbred 50000 WG,0
0.01,1500,Outbred 50000 WG,0
0.01,2000,Outbred 50000 WG,0.003
0.01,3000,Outbred 50000 WG,0.048
0.01,5000,Outbred 50000 WG,0.434
0.02,100,Outbred 50000 WG,0
0.02,150,Outbred 50000 WG,0
0.02,200,Outbred 50000 WG,0
0.02,300,Outbred 50000 WG,0
0.02,400,Outbred 50000 WG,0
0.02,500,Outbred 50000 WG,0
0.02,750,Outbred 50000 WG,0
0.02,1000,Outbred 50000 WG,0.001
0.02,1500,Outbred 50000 WG,0.04
0.02,2000,Outbred 50000 WG,0.18
0.02,3000,Outbred 50000 WG,0.674
0.02,5000,Outbred 50000 WG,0.997
0.05,100,Outbred 50000 WG,0
0.05,150,Outbred 50000 WG,0
0.05,200,Outbred 50000 WG,0
0.05,300,Outbred 50000 WG,0.001
0.05,400,Outbred 50000 WG,0.001
0.05,500,Outbred 50000 WG,0.012
0.05,750,Outbred 50000 WG,0.138
0.05,1000,Outbred 50000 WG,0.468
0.05,1500,Outbred 50000 WG,0.926
0.05,2000,Outbred 50000 WG,0.997
0.05,3000,Outbred 50000 WG,1
0.05,5000,Outbred 50000 WG,1
0.1,100,Outbred 50000 WG,0
0.1,150,Outbred 50000 WG,0
0.1,200,Outbred 50000 WG,0.004
0.1,300,Outbred 50000 WG,0.038
0.1,400,Outbred 50000 WG,0.219
0.1,500,Outbred 50000 WG,0.507
0.1,750,Outbred 50000 WG,0.954
0.1,1000,Outbred 50000 WG,1
0.1,1500,Outbred 50000 WG,1
0.1,2000,Outbred 50000 WG,1
0.1,3000,Outbred 50000 WG,1
0.1,5000,Outbred 50000 WG,1
0.01,100,Outbred 50000 Cis-only,0
0.01,150,Outbred 50000 Cis-only,0
0.01,200,Outbred 50000 Cis-only,0
0.01,300,Outbred 50000 Cis-only,0
0.01,400,Outbred 50000 Cis-only,0
0.01,500,Outbred 50000 Cis-only,0
0.01,750,Outbred 50000 Cis-only,0
0.01,1000,Outbred 50000 Cis-only,0.001
0.01,1500,Outbred 50000 Cis-only,0.015
0.01,2000,Outbred 50000 Cis-only,0.069
0.01,3000,Outbred 50000 Cis-only,0.265
0.01,5000,Outbred 50000 Cis-only,0.841
0.02,100,Outbred 50000 Cis-only,0
0.02,150,Outbred 50000 Cis-only,0
0.02,200,Outbred 50000 Cis-only,0
0.02,300,Outbred 50000 Cis-only,0
0.02,400,Outbred 50000 Cis-only,0.001
